"modelname","modeltype","lppd"
"allmonuments","power_law",-2.33811254338469
"allmonuments","power_law",-3.51704446032141
"allmonuments","power_law",-2.61810354999664
"allmonuments","power_law",-3.15106409634457
"allmonuments","power_law",-2.69222825291522
"allmonuments","power_law",-2.86958027942472
"allmonuments","power_law",-3.15771513508752
"allmonuments","power_law",-4.3200113268001
"allmonuments","power_law",-2.97153520568221
"allmonuments","power_law",-6.97058000417697
"allmonuments","power_law",-2.61051432636219
"allmonuments","power_law",-2.50260919952701
"allmonuments","power_law",-3.56273535226394
"allmonuments","power_law",-2.38037000022669
"allmonuments","power_law",-2.61773678066134
"allmonuments","power_law",-2.4626449485263
"allmonuments","power_law",-2.57878092408405
"allmonuments","power_law",-2.86343652439872
"allmonuments","power_law",-2.67203890964363
"allmonuments","power_law",-2.51731143729211
"allmonuments","power_law",-2.69850872783491
"allmonuments","power_law",-3.5605244723614
"allmonuments","power_law",-2.87008177370057
"allmonuments","power_law",-3.30740042173179
"allmonuments","power_law",-2.34420611487949
"allmonuments","power_law",-2.58436083710867
"allmonuments","power_law",-2.67279534655302
"allmonuments","power_law",-2.68008361966459
"allmonuments","power_law",-1.86722574304867
"allmonuments","power_law",-3.10237003457626
"allmonuments","power_law",-2.20670284242141
"allmonuments","power_law",-2.84699100956727
"allmonuments","power_law",-2.41688213938834
"allmonuments","power_law",-2.52232253285335
"allmonuments","power_law",-3.71260352022005
"allmonuments","power_law",-3.05958894661372
"allmonuments","power_law",-3.32855087660053
"allmonuments","power_law",-2.68337608767334
"allmonuments","power_law",-2.10055645233094
"allmonuments","power_law",-2.20663443383214
"allmonuments","power_law",-3.13233247437318
"allmonuments","power_law",-2.40890572480274
"allmonuments","power_law",-2.07636131044692
"allmonuments","power_law",-3.61108199823566
"allmonuments","power_law",-2.70404245525722
"allmonuments","power_law",-2.52991319042732
"allmonuments","power_law",-1.89774805498718
"allmonuments","power_law",-2.38560827972491
"allmonuments","power_law",-2.01990701861807
"allmonuments","power_law",-2.29071256770651
"allmonuments","power_law",-2.68880520287041
"allmonuments","power_law",-2.69141103428832
"allmonuments","power_law",-2.64735133409594
"allmonuments","power_law",-3.29991027615013
"allmonuments","power_law",-3.04394962644033
"allmonuments","power_law",-4.32235585798057
"allmonuments","power_law",-2.79592146357104
"allmonuments","power_law",-3.03673850250349
"allmonuments","power_law",-2.31805636690843
"allmonuments","power_law",-3.79962971977938
"allmonuments","power_law",-2.48565715629853
"allmonuments","power_law",-2.67135674243278
"allmonuments","power_law",-2.11182067090085
"allmonuments","power_law",-3.27437985867794
"allmonuments","power_law",-2.5408580534198
"allmonuments","power_law",-2.07865208708859
"allmonuments","power_law",-1.83257693766521
"allmonuments","power_law",-1.92927085312406
"allmonuments","power_law",-2.18017732279113
"allmonuments","power_law",-2.07881039409297
"allmonuments","power_law",-2.26554530681353
"allmonuments","power_law",-3.64086495419659
"allmonuments","power_law",-2.47680357443984
"allmonuments","power_law",-1.51306616175245
"allmonuments","power_law",-3.27567126904141
"allmonuments","power_law",-2.36169829767822
"allmonuments","power_law",-1.80979693562501
"allmonuments","power_law",-2.39140912811105
"allmonuments","power_law",-2.273660999015
"allmonuments","power_law",-2.47019597223358
"allmonuments","power_law",-2.13873467375131
"allmonuments","power_law",-2.41610644223215
"allmonuments","power_law",-4.2156867375963
"allmonuments","power_law",-2.34671281862193
"allmonuments","power_law",-2.65108148456502
"allmonuments","power_law",-3.14251627768176
"allmonuments","power_law",-2.01849736692711
"allmonuments","power_law",-3.03851447245212
"allmonuments","power_law",-2.39782215031084
"allmonuments","power_law",-3.12406689225292
