"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Canada","2020","Total","Both Sexes","Kamloops","City proper","Estimate - de jure","Final figure, complete","2021","101198","4,5"
"Canada","2020","Total","Both Sexes","Kamloops","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","116896","4,5"
"Canada","2020","Total","Both Sexes","Kelowna","City proper","Estimate - de jure","Final figure, complete","2021","146127","4,5"
"Canada","2020","Total","Both Sexes","Kelowna","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","222748","4,5"
"Canada","2020","Total","Both Sexes","Kingston","City proper","Estimate - de jure","Final figure, complete","2021","135707","4,5"
"Canada","2020","Total","Both Sexes","Kingston","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","176184","4,5"
"Canada","2020","Total","Both Sexes","Kitchener","City proper","Estimate - de jure","Final figure, complete","2021","267665","4,5"
"Canada","2020","Total","Both Sexes","Kitchener-Cambridge-Waterloo","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","593882","4,5"
"Canada","2020","Total","Both Sexes","Langley","City proper","Estimate - de jure","Final figure, complete","2021","133302","4,5"
"Canada","2020","Total","Both Sexes","Laval","City proper","Estimate - de jure","Final figure, complete","2021","442648","4,5"
"Canada","2020","Total","Both Sexes","Lethbridge","City proper","Estimate - de jure","Final figure, complete","2021","101324","4,5"
"Canada","2020","Total","Both Sexes","Lethbridge","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","128851","4,5"
"Canada","2020","Total","Both Sexes","Lévis V","City proper","Estimate - de jure","Final figure, complete","2021","149929","4,5"
"Canada","2020","Total","Both Sexes","London","City proper","Estimate - de jure","Final figure, complete","2021","430828","4,5"
"Canada","2020","Total","Both Sexes","London","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","551066","4,5"
"Canada","2020","Total","Both Sexes","Longueuil","City proper","Estimate - de jure","Final figure, complete","2021","252828","4,5"
"Canada","2020","Total","Both Sexes","Markham","City proper","Estimate - de jure","Final figure, complete","2021","351163","4,5"
"Canada","2020","Total","Both Sexes","Milton","City proper","Estimate - de jure","Final figure, complete","2021","133812","4,5"
"Canada","2020","Total","Both Sexes","Mississauga","City proper","Estimate - de jure","Final figure, complete","2021","774116","4,5"
"Canada","2020","Total","Both Sexes","Moncton","City proper","Estimate - de jure","Final figure, complete","2021","79508","4,5"
"Canada","2020","Total","Both Sexes","Moncton","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","158695","4,5"
"Canada","2020","Total","Both Sexes","Montréal","City proper","Estimate - de jure","Final figure, complete","2021","1821070","4,5"
"Canada","2020","Total","Both Sexes","Montréal","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","4364189","4,5"
"Canada","2020","Total","Both Sexes","Nanaimo","City proper","Estimate - de jure","Final figure, complete","2021","101336","4,5"
"Canada","2020","Total","Both Sexes","Nanaimo","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","117144","4,5"
